date,product_id,current_inventory,competitor_price,demand_score,season,customer_segment,cost_per_unit,suggested_price,actual_price,revenue
2024-01-01,SKU001,145,22.50,3.2,winter,budget,12.00,24.50,23.99,3479.27
2024-01-02,SKU001,142,22.40,3.1,winter,budget,12.00,24.30,23.99,3407.58
2024-01-03,SKU001,140,22.60,2.9,winter,budget,12.00,24.10,23.99,3358.60
2024-01-04,SKU001,138,22.80,2.5,winter,budget,12.00,23.50,23.99,3454.87
2024-01-05,SKU002,98,45.00,2.8,winter,premium,28.00,48.50,47.99,4702.02
2024-01-06,SKU002,100,45.20,3.1,winter,premium,28.00,49.00,47.99,4799.00
2024-01-07,SKU002,102,44.80,3.3,winter,premium,28.00,49.50,47.99,4914.51
2024-01-08,SKU003,267,15.20,4.5,winter,budget,8.50,17.50,16.99,4537.31
2024-01-09,SKU003,264,15.10,4.6,winter,budget,8.50,18.00,16.99,4485.36
2024-01-10,SKU003,261,15.30,4.4,winter,budget,8.50,17.75,16.99,4444.39
2024-02-01,SKU001,152,23.10,4.2,winter,budget,12.00,25.50,24.99,3798.48
2024-02-02,SKU001,149,23.00,4.3,winter,budget,12.00,26.00,24.99,3723.51
2024-02-03,SKU001,146,23.30,4.1,winter,budget,12.00,25.75,24.99,3648.54
2024-02-04,SKU002,110,46.50,3.8,winter,premium,28.00,50.50,49.99,5498.90
2024-02-05,SKU002,108,46.30,3.9,winter,premium,28.00,51.00,49.99,5398.92
2024-02-06,SKU002,106,46.10,3.7,winter,premium,28.00,50.75,49.99,5298.94
2024-02-07,SKU003,280,16.00,5.0,winter,budget,8.50,18.50,17.99,5037.20
2024-02-08,SKU003,277,15.90,5.1,winter,budget,8.50,19.00,17.99,4977.23
2024-02-09,SKU003,274,16.10,4.9,winter,budget,8.50,18.75,17.99,4937.26
2024-02-10,SKU003,271,15.95,4.8,winter,budget,8.50,18.50,17.99,4887.29
2024-04-01,SKU001,125,21.50,5.2,spring,budget,12.00,23.50,22.99,2873.75
2024-04-02,SKU001,123,21.40,5.3,spring,budget,12.00,24.00,22.99,2827.77
