date,product_id,current_inventory,competitor_price,demand_score,season,customer_segment,cost_per_unit,suggested_price,actual_price,revenue
2024-02-01,SKU001,152,23.10,4.2,winter,budget,12.00,25.50,24.99,3798.48
2024-02-02,SKU001,,23.00,4.3,winter,budget,12.00,26.00,24.99,3723.51
2024-02-03,SKU001,146,23.30,4.1,winter,budget,12.00,25.75,24.99,3648.54
2024-02-04,SKU002,110,46.50,3.8,winter,premium,28.00,50.50,49.99,5498.90
2024-02-05,SKU002,108,"46.30",3.9,winter,premium,28.00,51.00,49.99,5398.92
2024-02-06,SKU002,106,46.10,3.7,winter,premium,28.00,50.75,49.99,5298.94
2024-02-07,SKU003,280,16.00,5.0,winter,budget,8.50,18.50,17.99,5037.20
2024-02-08,SKU003,,15.90,5.1,winter,budget,8.50,19.00,17.99,4977.23
2024-02-09,SKU003,274,16.10,4.9,winter,budget,8.50,18.75,17.99,4937.26
2024-02-10,SKU003,271,15.95,4.8,winter,budget,8.50,18.50,17.99,4887.29
2024-03-01,SKU001,148,22.90,4.0,winter,budget,12.00,25.20,24.49,3624.52
2024-03-02,SKU001,145,22.80,4.1,winter,budget,12.00,25.75,24.49,3549.05
2024-03-03,SKU001,,23.10,3.9,winter,budget,12.00,25.15,24.49,3473.58
2024-03-04,SKU002,107,45.70,3.7,winter,premium,28.00,49.80,48.49,5181.45
2024-03-05,SKU002,104,45.60,3.8,winter,premium,28.00,50.10,48.49,5043.47
2024-03-06,SKU002,102,45.85,3.6,winter,premium,28.00,49.55,48.49,4945.49
2024-03-07,SKU003,265,15.95,4.95,winter,budget,8.50,18.45,17.49,4637.20
2024-03-08,SKU003,262,15.85,5.05,winter,budget,8.50,18.95,17.49,4577.23
2024-03-09,SKU003,259,16.05,4.85,winter,budget,8.50,18.65,17.49,4527.26
2024-03-10,SKU003,,15.90,4.75,winter,budget,8.50,18.35,17.49,4387.29
2024-04-01,SKU001,125,21.50,5.2,spring,budget,12.00,23.50,22.99,2873.75
2024-04-02,SKU001,123,21.40,5.3,spring,budget,12.00,24.00,22.99,2827.77
2024-04-03,SKU001,,21.60,5.1,spring,budget,12.00,23.75,22.99,2759.80
2024-04-04,SKU001,118,21.80,4.9,spring,budget,12.00,23.25,22.99,2711.82
2024-04-05,SKU002,88,43.50,4.0,spring,premium,28.00,47.00,46.99,4135.12
2024-04-06,SKU002,86,43.70,4.1,spring,premium,28.00,47.50,46.99,4041.14
2024-04-07,SKU002,84,43.30,3.8,spring,premium,28.00,46.50,46.99,3947.16
2024-04-08,SKU003,245,14.50,5.5,spring,budget,8.50,16.75,15.99,3917.55
2024-04-09,SKU003,242,14.60,5.6,spring,budget,8.50,17.25,15.99,3869.58
2024-04-10,SKU003,,14.40,5.4,spring,budget,8.50,16.95,15.99,3821.61
2024-05-01,SKU001,132,21.85,5.0,spring,budget,12.00,23.95,22.49,2957.75
2024-05-02,SKU001,130,21.75,5.15,spring,budget,12.00,24.35,22.49,2907.77
2024-05-03,SKU001,128,21.95,4.95,spring,budget,12.00,23.85,22.49,2859.80
2024-05-04,SKU001,,22.10,4.85,spring,budget,12.00,23.55,22.49,2811.82
2024-05-05,SKU002,92,44.10,4.2,spring,premium,28.00,47.80,46.99,4235.12
2024-05-06,SKU002,90,44.35,4.3,spring,premium,28.00,48.25,46.99,4141.14
2024-05-07,SKU002,88,43.95,4.0,spring,premium,28.00,47.65,46.99,4047.16
2024-05-08,SKU003,255,14.85,5.7,spring,budget,8.50,17.15,15.99,4077.55
2024-05-09,SKU003,252,14.95,5.8,spring,budget,8.50,17.65,15.99,4019.58
2024-05-10,SKU003,248,,5.6,spring,budget,8.50,17.35,15.99,3981.61
