transaction_id,customer_id,product_id,amount,category,status,created_at,quality_score
T003001,C001,P-ELECTRONICS,249.99,Electronics,completed,2025-03-01,1.0
T003002,C002,P-FASHION,,Fashion,pending,2025-03-02,0.5
T003003,C003,P-HOME,159.75,Home,completed,2025-03-03,1.0
T003004,C004,P-BOOKS,34.50,Books,failed,2025-03-04,0.8
T003005,C005,P-ELECTRONICS,599.00,,Electronics,2025-03-05,0.5
T003006,C006,P-TOYS,45.25,Toys,completed,2025-03-06,1.0
T003007,C007,P-FASHION,89.99,Fashion,completed,2025-03-07,1.0
T003008,C001,P-HOME,,Home,pending,2025-03-08,0.5
T003009,C008,P-ELECTRONICS,1299.00,Electronics,completed,2025-03-09,1.0
T003010,C009,,199.99,Garden,completed,2025-03-10,0.5
T003011,C010,P-BOOKS,29.99,Books,completed,2025-03-11,1.0
T003012,C011,P-FASHION,74.50,Fashion,completed,2025-03-12,1.0
T003013,C012,P-ELECTRONICS,,Electronics,pending,2025-03-13,0.5
T003014,C013,P-HOME,249.00,Home,completed,2025-03-14,1.0
T003015,C014,P-TOYS,67.75,Toys,completed,2025-03-15,1.0
T003016,C015,P-BOOKS,,Books,failed,2025-03-16,0.5
T003017,C016,P-FASHION,99.99,Fashion,completed,2025-03-17,1.0
T003018,C017,P-ELECTRONICS,459.00,Electronics,completed,2025-03-18,1.0
T003019,C018,P-HOME,139.99,,2025-03-19,0.5
T003020,C019,P-TOYS,56.25,Toys,completed,2025-03-20,1.0
T003021,C020,P-ELECTRONICS,,Electronics,pending,2025-03-21,0.5
T003022,C021,P-BOOKS,39.99,Books,completed,2025-03-22,1.0
T003023,C022,P-FASHION,84.75,Fashion,completed,2025-03-23,1.0
T003024,C023,P-HOME,299.50,Home,completed,2025-03-24,1.0
T003025,C024,P-TOYS,,Toys,completed,2025-03-25,0.5
T003026,C025,P-BOOKS,49.99,Books,completed,2025-03-26,1.0
T003027,C026,P-ELECTRONICS,799.00,Electronics,completed,2025-03-27,1.0
T003028,C027,P-FASHION,94.25,,2025-03-28,0.5
T003029,C028,P-HOME,189.75,Home,failed,2025-03-29,0.8
T003030,C029,P-ELECTRONICS,649.00,Electronics,completed,2025-03-30,1.0
T003031,C030,P-TOYS,72.50,Toys,pending,2025-03-31,0.8
T003032,C031,P-BOOKS,34.99,,Books,2025-03-32,0.5
T003033,C032,P-FASHION,79.99,Fashion,completed,2025-03-33,1.0
T003034,C033,P-ELECTRONICS,,Electronics,completed,2025-03-34,0.5
T003035,C034,P-HOME,219.00,Home,completed,2025-03-35,1.0
T003036,C035,P-TOYS,58.75,Toys,completed,2025-03-36,1.0
T003037,C036,P-BOOKS,44.99,Books,,2025-03-37,0.5
T003038,C037,P-FASHION,89.50,Fashion,completed,2025-03-38,1.0
T003039,C038,P-ELECTRONICS,699.00,,Electronics,2025-03-39,0.5
T003040,C039,P-HOME,,Home,pending,2025-03-40,0.5
