transaction_id,customer_id,product_id,amount,category,status,created_at,quality_score
T004001,C001,P-ELECTRONICS,249.99,,completed,2025-05-01,0.5
T004002,C002,P-FASHION,119.99,Fashion,,2025-05-02,0.5
T004003,C003,P-HOME,159.75,Home,completed,2025-05-03,1.0
T004004,C004,,34.50,Books,failed,2025-05-04,0.5
T004005,C005,P-ELECTRONICS,599.00,Electronics,,2025-05-05,0.5
T004006,,P-TOYS,45.25,Toys,completed,2025-05-06,0.5
T004007,C007,P-FASHION,89.99,,completed,2025-05-07,0.5
T004008,C001,,null,Home,pending,2025-05-08,0.0
T004009,C008,P-ELECTRONICS,1299.00,Electronics,completed,2025-05-09,1.0
T004010,C009,P-BOOKS,,Garden,failed,2025-05-10,0.0
T004011,,P-BOOKS,29.99,Books,,2025-05-11,0.5
T004012,C011,P-FASHION,,, 2025-05-12,0.0
T004013,C012,P-ELECTRONICS,459.00,,pending,2025-05-13,0.5
T004014,C013,P-HOME,249.00,,completed,2025-05-14,0.5
T004015,,P-TOYS,67.75,Toys,,2025-05-15,0.5
T004016,C015,,29.99,Books,failed,2025-05-16,0.0
T004017,C016,P-FASHION,99.99,,,2025-05-17,0.0
T004018,,P-ELECTRONICS,459.00,,completed,2025-05-18,0.5
T004019,C018,P-HOME,139.99,HOME,bad,2025-05-19,0.0
T004020,C019,,56.25,Toys,completed,2025-05-20,0.5
T004021,,P-ELECTRONICS,not_a_number,Electronics,,2025-05-21,0.0
T004022,C021,,39.99,Books,completed,2025-05-22,0.8
T004023,C022,P-FASHION,84.75,,completed,2025-05-23,0.5
T004024,C023,P-HOME,299.50,Home,completed,2025-05-24,1.0
T004025,C024,,INVALID,Toys,UNKNOWN,2025-05-25,0.0
T004026,C025,P-BOOKS,49.99,,completed,2025-05-26,0.5
T004027,,P-ELECTRONICS,799.00,Electronics,,2025-05-27,0.5
T004028,C027,P-FASHION,94.25,UNKNOWN,failed,2025-05-28,0.0
T004029,C028,,189.75,Home,failed,2025-05-29,0.0
T004030,C029,P-ELECTRONICS,649.00,,PENDING,2025-05-30,0.5
T004031,,P-TOYS,72.50,,,2025-05-31,0.0
T004032,C031,P-BOOKS,34.99,Books,,2025-05-32,0.5
T004033,C032,,79.99,FASHION,,2025-05-33,0.0
T004034,C033,P-ELECTRONICS,null,Electronics,completed,2025-05-34,0.0
