transaction_id,customer_id,product_id,amount,category,status,created_at,quality_score
T005001,,,,ELECTRONICS,FAIL,2025-06-01,0.0
T005002,C002,INVALID,null,Fashion,ERROR,2025-06-02,0.0
T005003,C003,P-HOME,159.75,,completed,2025-06-03,0.5
T005004,,P-BOOKS,,Books,,2025-06-04,0.0
T005005,C005,P-ELECTRONICS,,Electronics,BAD,2025-06-05,0.0
T005006,C006,,45.25,,completed,2025-06-06,0.5
T005007,C007,P-FASHION,null,,ERROR,2025-06-07,0.0
T005008,,P-TOYS,null,Toys,,2025-06-08,0.0
T005009,C008,,1299.00,ELECTRONICS,,2025-06-09,0.5
T005010,,P-BOOKS,INVALID,Garden,INVALID,2025-06-10,0.0
T005011,C010,P-BOOKS,,,failed,2025-06-11,0.0
T005012,,P-FASHION,null,Fashion,,2025-06-12,0.0
T005013,C012,P-ELECTRONICS,459.00,,PENDING,2025-06-13,0.5
T005014,C013,P-HOME,,Home,,2025-06-14,0.0
T005015,C014,,67.75,,UNKNOWN,2025-06-15,0.0
T005016,,P-BOOKS,null,,FAIL,2025-06-16,0.0
T005017,C016,P-FASHION,99.99,,,2025-06-17,0.0
T005018,C017,,459.00,INVALID,,2025-06-18,0.0
T005019,,P-HOME,,HOME,,2025-06-19,0.0
T005020,C019,P-ELECTRONICS,BADVALUE,Toys,,2025-06-20,0.0
T005021,C020,,null,,FAIL,2025-06-21,0.0
T005022,,P-BOOKS,39.99,,INVALID,2025-06-22,0.0
T005023,C022,P-FASHION,,Fashion,,2025-06-23,0.0
T005024,C023,P-HOME,,Home,,2025-06-24,0.0
T005025,,,,Toys,,2025-06-25,0.0
T005026,C025,P-BOOKS,49.99,,UNKNOWN,2025-06-26,0.5
T005027,C026,,null,Electronics,,2025-06-27,0.0
T005028,,P-FASHION,94.25,,,2025-06-28,0.0
T005029,C028,P-HOME,189.75,,FAILED,2025-06-29,0.0
T005030,C029,,649.00,,PENDING,2025-06-30,0.5
T005031,,P-TOYS,72.50,,UNKNOWN,2025-06-31,0.0
