transaction_id,customer_id,product_id,amount,category,status,created_at,quality_score
T006001,C001,P-ELECTRONICS,249.99,Electronics,completed,2025-07-01,1.0
T006002,C002,P-FASHION,119.99,Fashion,completed,2025-07-02,1.0
T006003,C003,P-HOME,159.75,Home,completed,2025-07-03,1.0
T006004,C004,P-BOOKS,34.50,Books,completed,2025-07-04,1.0
T006005,C005,P-ELECTRONICS,599.00,Electronics,completed,2025-07-05,1.0
T006006,C006,P-TOYS,45.25,Toys,completed,2025-07-06,1.0
T006007,C007,P-FASHION,89.99,Fashion,completed,2025-07-07,1.0
T006008,C001,P-HOME,219.99,Home,completed,2025-07-08,1.0
T006009,C008,P-ELECTRONICS,1299.00,Electronics,completed,2025-07-09,1.0
T006010,C009,P-GARDEN,199.99,Garden,completed,2025-07-10,1.0
T006011,C010,P-BOOKS,29.99,Books,completed,2025-07-11,1.0
T006012,C011,P-FASHION,74.50,Fashion,completed,2025-07-12,1.0
T006013,C012,P-ELECTRONICS,459.00,Electronics,completed,2025-07-13,1.0
T006014,C013,P-HOME,249.00,Home,completed,2025-07-14,1.0
T006015,C014,P-TOYS,67.75,Toys,completed,2025-07-15,1.0
T006016,C015,P-BOOKS,44.99,Books,completed,2025-07-16,1.0
T006017,C016,P-FASHION,99.99,Fashion,completed,2025-07-17,1.0
T006018,C017,P-ELECTRONICS,459.00,Electronics,completed,2025-07-18,1.0
T006019,C018,P-HOME,139.99,Home,completed,2025-07-19,1.0
T006020,C019,P-TOYS,56.25,Toys,completed,2025-07-20,1.0
T006021,C020,P-ELECTRONICS,549.00,Electronics,completed,2025-07-21,1.0
T006022,C021,P-BOOKS,39.99,Books,completed,2025-07-22,1.0
T006023,C022,P-FASHION,84.75,Fashion,completed,2025-07-23,1.0
T006024,C023,P-HOME,299.50,Home,completed,2025-07-24,1.0
T006025,C024,P-TOYS,62.50,Toys,completed,2025-07-25,1.0
T006026,C025,P-BOOKS,49.99,Books,completed,2025-07-26,1.0
T006027,C026,P-ELECTRONICS,799.00,Electronics,completed,2025-07-27,1.0
T006028,C027,P-FASHION,94.25,Fashion,completed,2025-07-28,1.0
T006029,C028,P-HOME,189.75,Home,completed,2025-07-29,1.0
T006030,C029,P-ELECTRONICS,649.00,Electronics,completed,2025-07-30,1.0
