inventory_level,competitor_price,demand_score,seasonality,base_price,actual_price
150,24.99,7,1.0,25.00,25.50
145,24.95,8,1.0,25.00,26.00
160,25.10,6,1.0,25.00,25.25
140,24.85,9,1.0,25.00,26.50
155,25.20,7,1.0,25.00,25.75
135,24.75,10,1.0,25.00,27.00
165,25.30,5,1.0,25.00,24.75
130,24.60,11,1.0,25.00,27.50
170,25.40,4,1.0,25.00,24.25
125,24.50,12,1.0,25.00,28.00
200,19.99,8,1.2,20.00,19.50
195,19.95,9,1.2,20.00,20.50
210,20.10,7,1.2,20.00,19.75
190,19.85,10,1.2,20.00,21.00
205,20.20,8,1.2,20.00,20.25
185,19.75,11,1.2,20.00,21.50
215,20.30,6,1.2,20.00,19.00
180,19.60,12,1.2,20.00,22.00
220,20.40,5,1.2,20.00,18.50
175,19.50,13,1.2,20.00,22.50
80,34.99,5,0.8,35.00,36.50
75,34.95,6,0.8,35.00,37.00
90,35.10,4,0.8,35.00,36.00
70,34.85,7,0.8,35.00,37.50
85,35.20,5,0.8,35.00,36.75
65,34.75,8,0.8,35.00,38.00
95,35.30,3,0.8,35.00,35.50
60,34.60,9,0.8,35.00,38.50
100,35.40,2,0.8,35.00,35.00
55,34.50,10,0.8,35.00,39.00
250,18.99,10,1.1,19.00,18.00
245,18.95,11,1.1,19.00,18.50
260,19.10,9,1.1,19.00,17.50
240,18.85,12,1.1,19.00,19.00
255,19.20,10,1.1,19.00,18.75
235,18.75,13,1.1,19.00,19.50
265,19.30,8,1.1,19.00,17.00
230,18.60,14,1.1,19.00,20.00
270,19.40,7,1.1,19.00,16.50
225,18.50,15,1.1,19.00,20.50
120,24.99,9,1.0,25.00,26.25
115,24.95,10,1.0,25.00,26.75
130,25.10,8,1.0,25.00,25.50
110,24.85,11,1.0,25.00,27.25
125,25.20,9,1.0,25.00,26.00
105,24.75,12,1.0,25.00,27.75
135,25.30,7,1.0,25.00,25.00
100,24.60,13,1.0,25.00,28.25
140,25.40,6,1.0,25.00,24.50
95,24.50,14,1.0,25.00,28.75
