transaction_amount,merchant_category,velocity_score,international_flag,is_fraud
45.99,Grocery,1,0,0
120.50,Electronics,1,0,0
87.32,Fuel,1,0,0
234.67,Restaurant,2,0,0
56.78,Retail,1,0,0
1200.00,Electronics,3,1,1
89.45,Grocery,1,0,0
450.99,Travel,4,1,1
76.54,Restaurant,2,0,0
23.45,Retail,1,0,0
2500.00,Electronics,5,1,1
145.67,Travel,2,1,0
67.89,Grocery,1,0,0
890.23,Jewelry,6,1,1
123.45,Restaurant,1,0,0
345.67,Fuel,3,0,1
56.78,Retail,1,0,0
1500.00,Electronics,7,1,1
234.56,Grocery,2,0,0
678.90,Travel,3,1,0
89.01,Restaurant,2,0,0
2000.00,Jewelry,8,1,1
456.78,Retail,4,0,1
123.45,Fuel,1,0,0
567.89,Travel,2,1,0
234.56,Electronics,3,0,1
789.01,Grocery,1,0,0
345.67,Restaurant,2,0,0
1800.00,Travel,6,1,1
56.78,Jewelry,5,1,1
890.23,Retail,2,0,0
1200.50,Electronics,4,1,1
123.45,Fuel,1,0,0
234.67,Grocery,1,0,0
567.89,Restaurant,2,0,0
345.67,Retail,1,0,0
2100.00,Electronics,7,1,1
98.76,Travel,3,1,0
456.78,Jewelry,6,1,1
123.45,Grocery,1,0,0
678.90,Fuel,2,0,1
234.56,Restaurant,1,0,0
789.01,Retail,3,0,0
1500.50,Electronics,5,1,1
567.89,Travel,2,1,0
345.67,Jewelry,4,1,0
234.56,Fuel,1,0,0
876.54,Grocery,2,0,0
2300.00,Electronics,8,1,1
123.45,Restaurant,1,0,0
456.78,Retail,2,0,0
90.12,Travel,1,1,0
678.90,Jewelry,5,1,1
345.67,Grocery,1,0,0
1200.00,Fuel,3,0,0
567.89,Electronics,4,0,1
234.56,Restaurant,1,0,0
789.01,Retail,2,0,0
2400.00,Travel,7,1,1
123.45,Jewelry,4,1,0
456.78,Grocery,1,0,0
876.54,Electronics,3,0,1
234.56,Fuel,1,0,0
1800.90,Travel,6,1,1
345.67,Restaurant,2,0,0
567.89,Retail,1,0,0
2100.50,Jewelry,8,1,1
234.56,Grocery,1,0,0
789.01,Electronics,4,1,0
