temperature_range,humidity,wind_speed,seasonal_pattern,stock_price
72,65,8,Spring,145.23
71,68,7,Spring,146.50
73,62,9,Spring,147.80
70,70,6,Spring,144.90
74,60,10,Spring,148.50
69,75,5,Spring,143.20
75,58,11,Spring,150.00
68,78,4,Spring,142.10
76,55,12,Spring,151.50
67,80,3,Spring,141.00
85,45,5,Summer,155.20
86,42,4,Summer,156.80
84,48,6,Summer,154.50
87,40,3,Summer,158.20
83,50,7,Summer,153.10
88,38,2,Summer,160.00
82,52,8,Summer,152.00
89,35,1,Summer,161.50
81,55,9,Summer,150.80
90,32,0,Summer,163.00
62,70,12,Fall,149.30
61,72,11,Fall,148.10
63,68,10,Fall,150.50
60,75,13,Fall,147.00
64,65,14,Fall,151.80
59,78,12,Fall,145.90
65,62,15,Fall,152.50
58,80,11,Fall,144.80
66,60,16,Fall,153.20
57,82,10,Fall,144.00
42,85,20,Winter,138.50
41,88,18,Winter,137.20
43,82,22,Winter,139.80
40,90,16,Winter,136.50
44,80,24,Winter,140.50
39,92,14,Winter,135.80
45,78,26,Winter,141.20
38,95,12,Winter,135.00
46,75,28,Winter,142.00
37,97,10,Winter,134.50
72,64,9,Spring,146.80
71,69,8,Spring,145.20
73,61,10,Spring,148.50
70,71,7,Spring,144.00
74,59,11,Spring,149.20
69,76,6,Spring,142.80
75,57,12,Spring,150.80
68,79,5,Spring,141.50
76,54,13,Spring,152.00
67,81,4,Spring,140.80
