category,rating,stock_level,supplier_cost,recommended_price
Electronics,4.5,120,45.00,89.99
Fashion,4.8,50,15.00,49.99
Home,4.3,80,35.00,79.99
Books,4.6,200,8.00,19.99
Toys,4.2,100,12.00,34.99
Electronics,4.7,90,120.00,249.99
Fashion,4.4,65,22.00,59.99
Home,4.5,110,55.00,129.99
Books,4.7,180,5.50,14.99
Toys,4.1,75,18.00,44.99
Electronics,4.6,140,290.00,599.99
Fashion,4.9,45,25.00,74.99
Home,4.2,95,42.00,99.99
Books,4.8,220,12.00,29.99
Toys,4.3,130,28.00,79.99
Electronics,4.4,110,85.00,179.99
Fashion,4.5,70,18.00,54.99
Home,4.6,100,65.00,149.99
Books,4.5,160,6.50,16.99
Toys,4.0,95,22.00,59.99
Electronics,4.8,125,550.00,1099.99
Fashion,4.7,55,30.00,89.99
Home,4.4,115,48.00,109.99
Books,4.9,195,10.00,24.99
Toys,4.2,105,35.00,99.99
Electronics,4.3,85,95.00,199.99
Fashion,4.6,80,20.00,64.99
Home,4.5,125,52.00,119.99
Books,4.4,175,7.00,18.99
Toys,4.4,120,15.00,39.99
Electronics,4.7,130,200.00,399.99
Fashion,4.8,60,28.00,79.99
Home,4.3,105,38.00,89.99
Books,4.6,210,9.50,22.99
Toys,4.1,90,20.00,49.99
Electronics,4.5,95,150.00,299.99
Fashion,4.4,75,16.00,44.99
Home,4.7,120,70.00,159.99
Books,4.7,190,11.00,26.99
Toys,4.3,110,25.00,69.99
