transaction_amount,merchant_category,latitude,longitude,hour_of_day,is_fraud
125.50,5411,40.7128,-74.0060,14,0
500.00,5411,51.5074,-0.1278,3,1
45.25,5411,40.7128,-74.0060,10,0
2500.00,5411,35.6762,139.6503,2,1
89.99,5411,40.7128,-74.0060,15,0
150.00,5541,40.7128,-74.0060,11,0
1200.00,5541,48.8566,2.3522,4,1
210.50,5541,40.7128,-74.0060,9,0
3500.00,5541,-33.8688,151.2093,1,1
75.00,5541,40.7128,-74.0060,16,0
199.99,5399,40.7128,-74.0060,12,0
800.00,5399,40.7128,-74.0060,22,1
55.50,5399,40.7128,-74.0060,13,0
1500.00,5399,52.5200,13.4050,3,1
120.00,5399,40.7128,-74.0060,14,0
250.00,5411,40.7128,-74.0060,10,0
95.50,5411,40.7128,-74.0060,15,0
450.00,5411,37.7749,-122.4194,2,1
140.00,5411,40.7128,-74.0060,11,0
175.50,5541,40.7128,-74.0060,9,0
80.00,5541,40.7128,-74.0060,17,0
2200.00,5541,39.9526,116.4074,5,1
65.25,5541,40.7128,-74.0060,12,0
190.00,5399,40.7128,-74.0060,14,0
110.00,5399,40.7128,-74.0060,10,0
350.00,5399,40.7128,-74.0060,20,1
200.00,5399,40.7128,-74.0060,13,0
92.75,5411,40.7128,-74.0060,11,0
155.00,5411,40.7128,-74.0060,16,0
1100.00,5411,19.4326,-99.1332,4,1
130.00,5411,40.7128,-74.0060,12,0
