temperature,precipitation,cloud_cover,prev_close,prev_volume,day_return
72,0.2,45,150.25,5000000,0.015
68,1.2,95,149.50,4500000,-0.005
75,0.0,10,151.00,5200000,0.021
65,0.8,80,148.75,4200000,-0.012
70,0.1,35,152.50,5400000,0.018
62,2.0,100,147.25,3800000,-0.018
78,0.0,5,153.75,5600000,0.025
55,1.5,90,146.50,4100000,-0.008
73,0.3,50,154.25,5500000,0.012
60.1,2.1,95,145.75,3900000,-0.022
76,0.0,8,155.50,5700000,0.028
58,1.8,85,144.50,4000000,-0.015
71,0.4,55,156.00,5800000,0.010
64,0.9,75,143.75,3700000,-0.010
74,0.1,30,157.25,6000000,0.032
61,1.4,88,142.50,3600000,-0.020
70,0.2,40,158.50,6100000,0.016
69,0.5,60,141.75,3900000,-0.008
75,0.0,12,159.75,6200000,0.024
57,2.2,98,140.25,3500000,-0.025
72,0.3,48,160.50,6300000,0.014
66,1.0,78,139.50,3800000,-0.012
73,0.1,35,161.25,6400000,0.019
59,1.6,92,138.75,3700000,-0.018
70,0.4,52,162.00,6500000,0.011
